# T*,	(1,1)*,	(1,2)*,	(1,3)*,	(2,2)*,	(2,3)*,	(2,4)*,	(2,5)*
0.3,	2.662,	2.256,	1.962,	2.785,	2.535,	2.333,	2.152
0.35,	2.476,	2.078,	1.795,	2.628,	2.375,	2.163,	1.978
0.4,	2.318,	1.931,	1.663,	2.492,	2.232,	2.016,	1.833
0.45,	2.184,	1.808,	1.556,	2.368,	2.105,	1.889,	1.713
0.5,	2.066,	1.705,	1.468,	2.257,	1.992,	1.781,	1.614
0.55,	1.966,	1.618,	1.396,	2.156,	1.893,	1.689,	1.532
0.6,	1.877,	1.543,	1.336,	2.065,	1.806,	1.61,	1.463
0.65,	1.798,	1.479,	1.285,	1.982,	1.729,	1.542,	1.406
0.7,	1.729,	1.423,	1.242,	1.908,	1.661,	1.484,	1.357
0.75,	1.667,	1.375,	1.205,	1.841,	1.602,	1.434,	1.315
0.8,	1.612,	1.332,	1.172,	1.78,	1.549,	1.389,	1.278
0.85,	1.562,	1.295,	1.144,	1.725,	1.502,	1.35,	1.247
0.9,	1.517,	1.261,	1.119,	1.675,	1.46,	1.316,	1.219
0.95,	1.476,	1.231,	1.096,	1.629,	1.422,	1.286,	1.194
1,	1.439,	1.204,	1.076,	1.587,	1.388,	1.258,	1.172
1.05,	1.406,	1.179,	1.058,	1.549,	1.357,	1.234,	1.152
1.1,	1.375,	1.157,	1.041,	1.514,	1.329,	1.212,	1.135
1.15,	1.346,	1.137,	1.027,	1.482,	1.304,	1.192,	1.119
1.2,	1.32,	1.119,	1.013,	1.452,	1.28,	1.174,	1.104
1.25,	1.296,	1.102,	1,	1.424,	1.259,	1.157,	1.091
1.3,	1.273,	1.086,	0.9887,	1.399,	1.239,	1.142,	1.078
1.35,	1.253,	1.072,	0.978,	1.375,	1.221,	1.128,	1.067
1.4,	1.233,	1.059,	0.968,	1.353,	1.205,	1.115,	1.057
1.45,	1.215,	1.046,	0.9588,	1.333,	1.189,	1.103,	1.047
1.5,	1.198,	1.034,	0.9502,	1.314,	1.175,	1.092,	1.037
1.55,	1.182,	1.023,	0.942,	1.296,	1.162,	1.081,	1.029
1.6,	1.167,	1.013,	0.9345,	1.279,	1.149,	1.072,	1.022
1.65,	1.153,	1.004,	0.9272,	1.264,	1.137,	1.063,	1.014
1.7,	1.14,	0.9947,	0.9205,	1.248,	1.126,	1.054,	1.007
1.75,	1.128,	0.986,	0.9142,	1.234,	1.116,	1.046,	1
1.8,	1.116,	0.978,	0.9082,	1.221,	1.106,	1.038,	0.9942
1.85,	1.105,	0.9707,	0.9023,	1.209,	1.097,	1.031,	0.9875
1.9,	1.094,	0.9633,	0.8968,	1.197,	1.088,	1.024,	0.9825
1.95,	1.084,	0.9567,	0.8917,	1.186,	1.08,	1.018,	0.9767
2,	1.075,	0.95,	0.8867,	1.175,	1.073,	1.012,	0.9717
2.1,	1.057,	0.938,	0.8775,	1.156,	1.055,	1,	0.9617
2.2,	1.041,	0.9267,	0.8688,	1.138,	1.045,	0.9895,	0.9525
2.3,	1.026,	0.9167,	0.8612,	1.122,	1.033,	0.98,	0.945
2.4,	1.012,	0.9073,	0.8538,	1.107,	1.022,	0.971,	0.9375
2.5,	0.9996,	0.8987,	0.847,	1.093,	1.012,	0.963,	0.93
2.6,	0.9878,	0.8907,	0.8407,	1.081,	1.002,	0.9555,	0.9233
