#,config,g,E,Eth_eV,n,Zeff,Eth_nm
0,3s2.3p6,1.0,0.000000,15.759612,3,1,78.672114
1,3s2.3p5.(2P*<3/2>).4s,5.0,11.548354,4.211257,4,2,294.411346
2,3s2.3p5.(2P*<3/2>).4s,3.0,11.623593,4.136019,4,2,299.766981
3,3s2.3p5.(2P*<1/2>).4s,1.0,11.723160,4.213945,4,2,294.223567
4,3s2.3p5.(2P*<1/2>).4s,3.0,11.828071,4.109034,4,2,301.735604
5,3s2.3p5.(2P*<3/2>).4p,3.0,12.907015,2.852597,4,2,434.636283
6,3s2.3p5.(2P*<3/2>).4p,7.0,13.075716,2.683896,4,2,461.956013
7,3s2.3p5.(2P*<3/2>).4p,5.0,13.094873,2.664739,4,2,465.277022
8,3s2.3p5.(2P*<3/2>).4p,3.0,13.153144,2.606468,4,2,475.678953
9,3s2.3p5.(2P*<3/2>).4p,5.0,13.171778,2.587834,4,2,479.104103
10,3s2.3p5.(2P*<3/2>).4p,1.0,13.273038,2.486574,4,2,498.614593
11,3s2.3p5.(2P*<1/2>).4p,3.0,13.282639,2.654467,4,2,467.077643
12,3s2.3p5.(2P*<1/2>).4p,5.0,13.302227,2.634878,4,2,470.550034
13,3s2.3p5.(2P*<1/2>).4p,3.0,13.327857,2.609249,4,2,475.172054
14,3s2.3p5.(2P*<1/2>).4p,1.0,13.479887,2.457219,4,2,504.571268
15,3s2.3p5.(2P*<3/2>).3d,1.0,13.845038,1.914573,3,1,647.581328
16,3s2.3p5.(2P*<3/2>).3d,3.0,13.863669,1.895943,3,1,653.944653
17,3s2.3p5.(2P*<3/2>).3d,5.0,13.903455,1.856157,3,1,667.961699
18,3s2.3p5.(2P*<3/2>).3d,9.0,13.979237,1.780375,3,1,696.393885
19,3s2.3p5.(2P*<3/2>).3d,7.0,14.012738,1.746874,3,1,709.749030
20,3s2.3p5.(2P*<3/2>).3d,5.0,14.063027,1.696585,3,1,730.786965
21,3s2.3p5.(2P*<3/2>).5s,5.0,14.068298,1.691314,5,1,733.064255
22,3s2.3p5.(2P*<3/2>).5s,3.0,14.089968,1.669643,5,1,742.578915
23,3s2.3p5.(2P*<3/2>).3d,7.0,14.099056,1.660556,3,1,746.642681
24,3s2.3p5.(2P*<3/2>).3d,3.0,14.152515,1.607097,3,1,771.479344
25,3s2.3p5.(2P*<1/2>).3d,5.0,14.213672,1.723434,3,1,719.402035
26,3s2.3p5.(2P*<1/2>).3d,5.0,14.234023,1.703083,3,1,727.998576
27,3s2.3p5.(2P*<1/2>).3d,7.0,14.236106,1.700999,3,1,728.890278
28,3s2.3p5.(2P*<1/2>).5s,1.0,14.241028,1.696078,5,1,731.005338
29,3s2.3p5.(2P*<1/2>).5s,3.0,14.255086,1.682020,5,1,737.114897
30,3s2.3p5.(2P*<1/2>).3d,3.0,14.303668,1.633437,3,1,759.038670
31,3s2.3p5.(2P*<3/2>).5p,3.0,14.463996,1.295616,5,1,956.951643
32,3s2.3p5.(2P*<3/2>).5p,7.0,14.499054,1.260558,5,1,983.565793
33,3s2.3p5.(2P*<3/2>).5p,5.0,14.506068,1.253544,5,1,989.069173
34,3s2.3p5.(2P*<3/2>).5p,3.0,14.524913,1.234699,5,1,1004.165700
35,3s2.3p5.(2P*<3/2>).5p,5.0,14.528913,1.230698,5,1,1007.429582
36,3s2.3p5.(2P*<3/2>).5p,1.0,14.575949,1.183663,5,1,1047.461869
37,3s2.3p5.(2P*<1/2>).5p,3.0,14.680650,1.256455,5,1,986.777670
38,3s2.3p5.(2P*<1/2>).5p,3.0,14.687118,1.249987,5,1,991.883633
39,3s2.3p5.(2P*<1/2>).5p,5.0,14.688290,1.248815,5,1,992.814553
40,3s2.3p5.(2P*<3/2>).4d,1.0,14.693640,1.065972,4,1,1163.109117
41,3s2.3p5.(2P*<3/2>).4d,3.0,14.710898,1.048714,4,1,1182.250090
42,3s2.3p5.(2P*<1/2>).5p,1.0,14.738115,1.198990,5,1,1034.071808
43,3s2.3p5.(2P*<3/2>).4d,5.0,14.742541,1.017071,4,1,1219.031831
44,3s2.3p5.(2P*<3/2>).4d,9.0,14.757052,1.002560,4,1,1236.675723
45,3s2.3p5.(2P*<3/2>).4d,7.0,14.780512,0.979100,4,1,1266.307947
46,3s2.3p5.(2P*<3/2>).4d,5.0,14.809272,0.950340,4,1,1304.630043
47,3s2.3p5.(2P*<3/2>).4d,7.0,14.824298,0.935314,4,1,1325.589178
48,3s2.3p5.(2P*<3/2>).6s,5.0,14.838811,0.920801,6,1,1346.482160
49,3s2.3p5.(2P*<3/2>).6s,3.0,14.848369,0.911243,6,1,1360.605356
50,3s2.3p5.(2P*<3/2>).4d,3.0,14.859230,0.900382,4,1,1377.017890
51,3s2.3p5.(2P*<3/2>).4f,3.0,14.901442,0.858170,4,1,1444.750517
52,3s2.3p5.(2P*<3/2>).4f,5.0,14.901491,0.858121,4,1,1444.833856
53,3s2.3p5.(2P*<3/2>).4f,11.0,14.903785,0.855827,4,1,1448.706829
54,3s2.3p5.(2P*<3/2>).4f,9.0,14.903790,0.855822,4,1,1448.715292
55,3s2.3p5.(2P*<3/2>).4f,7.0,14.906589,0.853023,4,1,1453.468922
56,3s2.3p5.(2P*<3/2>).4f,5.0,14.906628,0.852984,4,1,1453.535037
57,3s2.3p5.(2P*<3/2>).4f,7.0,14.909085,0.850527,4,1,1457.733148
58,3s2.3p5.(2P*<3/2>).4f,9.0,14.909089,0.850523,4,1,1457.741204
59,3s2.3p5.(2P*<1/2>).4d,5.0,14.952605,0.984501,4,1,1259.361022
60,3s2.3p5.(2P*<1/2>).4d,5.0,14.954852,0.982254,4,1,1262.242317
61,3s2.3p5.(2P*<1/2>).4d,7.0,14.971522,0.965583,4,1,1284.034311
62,3s2.3p5.(2P*<1/2>).4d,3.0,15.003566,0.933540,4,1,1328.108472
63,3s2.3p5.(2P*<3/2>).6p,3.0,15.010610,0.749002,6,1,1655.325995
64,3s2.3p5.(2P*<1/2>).6s,1.0,15.014065,0.923040,6,1,1343.215762
65,3s2.3p5.(2P*<1/2>).6s,3.0,15.022088,0.915017,6,1,1354.993032
66,3s2.3p5.(2P*<3/2>).6p,7.0,15.022591,0.737021,6,1,1682.234271
67,3s2.3p5.(2P*<3/2>).6p,5.0,15.025869,0.733743,6,1,1689.749429
68,3s2.3p5.(2P*<3/2>).6p,3.0,15.033972,0.725640,6,1,1708.618577
69,3s2.3p5.(2P*<3/2>).6p,5.0,15.035640,0.723972,6,1,1712.555870
70,3s2.3p5.(2P*<3/2>).6p,1.0,15.060390,0.699222,6,1,1773.174098
71,3s2.3p5.(2P*<1/2>).4f,7.0,15.083079,0.854026,4,1,1451.760757
72,3s2.3p5.(2P*<1/2>).4f,9.0,15.083084,0.854021,4,1,1451.769597
73,3s2.3p5.(2P*<1/2>).4f,7.0,15.083203,0.853903,4,1,1451.970726
74,3s2.3p5.(2P*<1/2>).4f,5.0,15.083246,0.853860,4,1,1452.043676
75,3s2.3p5.(2P*<3/2>).5d,1.0,15.100544,0.659068,5,1,1881.204408
76,3s2.3p5.(2P*<3/2>).5d,3.0,15.117746,0.641866,5,1,1931.622662
77,3s2.3p5.(2P*<3/2>).5d,9.0,15.130544,0.629068,5,1,1970.920331
78,3s2.3p5.(2P*<3/2>).5d,5.0,15.136848,0.622763,5,1,1990.871533
79,3s2.3p5.(2P*<3/2>).5d,7.0,15.145928,0.613684,5,1,2020.327713
80,3s2.3p5.(2P*<3/2>).5d,5.0,15.161049,0.598563,5,1,2071.363186
81,3s2.3p5.(2P*<3/2>).5d,7.0,15.166946,0.592666,5,1,2091.975617
82,3s2.3p5.(2P*<3/2>).7s,5.0,15.180634,0.578978,7,1,2141.430798
