#,config,g,E,Eth_eV,n,Zeff,Eth_nm
0,3s2.3p5,4.0,0.000000,27.629670,3,1,44.873572
1,3s2.3p5,2.0,0.177494,27.452176,3,1,45.163705
2,3s.3p6,2.0,13.479753,28.249917,3,1,43.888340
3,3s2.3p4.(3P).3d,8.0,16.406502,11.290764,3,1,109.810287
4,3s2.3p4.(3P).3d,6.0,16.425576,11.271689,3,1,109.996112
5,3s2.3p4.(3P).3d,4.0,16.444114,11.253151,3,1,110.177318
6,3s2.3p4.(3P).3d,2.0,16.457378,11.239888,3,1,110.307330
7,3s2.3p4.(3P).4s,6.0,16.643854,11.053411,4,1,112.168269
8,3s2.3p4.(3P).4s,4.0,16.748529,10.948736,4,1,113.240645
9,3s2.3p4.(3P).4s,2.0,16.812472,10.884793,4,1,113.905884
10,3s2.3p4.(3P).4s,4.0,17.140027,10.557238,4,1,117.439996
11,3s2.3p4.(3P).4s,2.0,17.265834,10.431432,4,1,118.856356
12,3s2.3p4.(3P).3d,10.0,17.628856,10.068409,3,1,123.141797
13,3s2.3p4.(3P).3d,8.0,17.694665,10.002601,3,1,123.951964
14,3s2.3p4.(3P).3d,6.0,17.743091,9.954174,3,1,124.554979
15,3s2.3p4.(3P).3d,4.0,17.775793,9.921473,3,1,124.965518
16,3s2.3p4.(3P).3d,2.0,17.941751,9.755514,3,1,127.091401
17,3s2.3p4.(3P).3d,4.0,18.060640,9.636626,3,1,128.659351
18,3s2.3p4.(3P).3d,2.0,18.253952,9.443313,3,1,131.293110
19,3s2.3p4.(3P).3d,4.0,18.288055,9.409210,3,1,131.768976
20,3s2.3p4.(3P).3d,6.0,18.334281,9.362985,3,1,132.419527
21,3s2.3p4.(1D).4s,4.0,18.426549,10.940140,4,1,113.329628
22,3s2.3p4.(1D).4s,6.0,18.454114,10.912575,4,1,113.615896
23,3s2.3p4.(3P).3d,8.0,18.495869,9.201396,3,1,134.744982
24,3s2.3p4.(3P).3d,6.0,18.615942,9.081323,3,1,136.526583
25,3s2.3p4.(3P).3d,4.0,18.656521,9.040744,3,1,137.139370
26,3s2.3p4.(3P).3d,6.0,18.732439,8.964826,3,1,138.300730
