#,config,g,E,Eth_eV,n,Zeff,Eth_nm
0,3s2.3p3.(4S*).3p,1.0,0.000000,40.735000,3,1,30.436774
1,3s2.3p3.(2D*).3p,2.5,0.000000,43.357910,3,1,28.595520
2,3s2.3p3.(2P*).3p,1.5,0.000000,45.071116,3,1,27.508571
3,3s2.3p3.(4S*).3p,0.6,0.137892,40.597108,3,1,30.540155
4,3s2.3p3.(2D*).3p,1.5,0.137892,43.220018,3,1,28.686753
5,3s2.3p3.(2P*).3p,0.9,0.137892,44.933224,3,1,27.592989
6,3s2.3p3.(4S*).3p,0.2,0.194684,40.540316,3,1,30.582938
7,3s2.3p3.(2D*).3p,0.5,0.194684,43.163226,3,1,28.724497
8,3s2.3p3.(2P*).3p,0.3,0.194684,44.876432,3,1,27.627909
9,3s2.3p3.(4S*).3p,1.0,1.737019,38.997981,3,1,31.792466
10,3s2.3p3.(2D*).3p,2.5,1.737019,41.620891,3,1,29.788934
11,3s2.3p3.(2P*).3p,1.5,1.737019,43.334097,3,1,28.611234
12,3s2.3p3.(4S*).3p,0.2,4.124420,36.610580,3,1,33.865674
13,3s2.3p3.(2D*).3p,0.5,4.124420,39.233490,3,1,31.601624
14,3s2.3p3.(2P*).3p,0.3,4.124420,40.946696,3,1,30.279415
15,3s2.3p3.(4S*).3d,3.0,17.963508,22.771492,3,1,54.447112
16,3s2.3p3.(4S*).3d,5.0,17.964155,22.770845,3,1,54.448659
17,3s2.3p3.(4S*).3d,7.0,17.965003,22.769997,3,1,54.450687
18,3s2.3p3.(4S*).3d,9.0,17.966708,22.768292,3,1,54.454765
19,3s2.3p3.(4S*).3d,7.0,19.455045,21.279955,3,1,58.263374
20,3s2.3p3.(4S*).3d,5.0,19.455917,21.279083,3,1,58.265763
21,3s2.3p3.(4S*).3d,3.0,19.469215,21.265785,3,1,58.302198
22,3s2.3p3.(2D*).3d,1.0,20.066834,23.291076,3,1,53.232491
23,3s2.3p3.(2D*).3d,5.0,20.179331,23.178579,3,1,53.490854
24,3s2.3p3.(2D*).3d,7.0,20.218868,23.139042,3,1,53.582252
25,3s2.3p3.(2D*).3d,9.0,20.268566,23.089344,3,1,53.697584
26,3s2.3p3.(2D*).3d,7.0,21.337694,22.020216,3,1,56.304715
27,3s2.3p3.(2D*).3d,9.0,21.342215,22.015695,3,1,56.316277
28,3s2.3p3.(2D*).3d,11.0,21.349024,22.008886,3,1,56.333699
29,3s2.3p3.(4S*).4s,5.0,21.620178,19.114822,4,1,64.862858
30,3s2.3p3.(2D*).3d,9.0,21.779757,21.578153,3,1,57.458207
31,3s2.3p3.(2P*).3d,5.0,22.258823,22.812292,3,1,54.349732
32,3s2.3p3.(4S*).4s,3.0,22.401256,18.333744,4,1,67.626230
33,3s2.3p3.(2P*).3d,9.0,23.111012,21.960104,3,1,56.458840
