#,config,g,E,Eth_eV,n,Zeff,Eth_nm
0,5p5.(2P*<3/2>).5p,0.666667,0.000000,12.129844,5,1,102.214176
1,5p5.(2P*<1/2>).5p,0.333333,0.000000,13.436267,5,1,92.275780
2,5p5.(2P*<3/2>).6s,5.000000,8.315316,3.814528,6,1,325.031594
3,5p5.(2P*<3/2>).6s,3.000000,8.436524,3.693320,6,1,335.698536
4,5p5.(2P*<1/2>).6s,1.000000,9.447195,3.989072,6,1,310.809659
5,5p5.(2P*<1/2>).6s,3.000000,9.569725,3.866541,6,1,320.659186
6,5p5.(2P*<3/2>).6p,3.000000,9.580153,2.549691,6,1,486.271525
7,5p5.(2P*<3/2>).6p,5.000000,9.685621,2.444223,6,1,507.253996
8,5p5.(2P*<3/2>).6p,7.000000,9.720741,2.409103,6,1,514.648807
9,5p5.(2P*<3/2>).6p,3.000000,9.789300,2.340544,6,1,529.723966
10,5p5.(2P*<3/2>).6p,5.000000,9.821094,2.308750,6,1,537.018796
11,5p5.(2P*<3/2>).5d,1.000000,9.890377,2.239467,5,1,553.632596
12,5p5.(2P*<3/2>).5d,3.000000,9.917077,2.212767,5,1,560.312940
13,5p5.(2P*<3/2>).6p,1.000000,9.933485,2.196358,6,1,564.498938
14,5p5.(2P*<3/2>).5d,9.000000,9.943115,2.186729,5,1,566.984771
15,5p5.(2P*<3/2>).5d,5.000000,9.958751,2.171092,5,1,571.068272
16,5p5.(2P*<3/2>).5d,7.000000,10.039055,2.090789,5,1,593.002021
17,5p5.(2P*<3/2>).5d,5.000000,10.157469,1.972375,5,1,628.603738
18,5p5.(2P*<3/2>).5d,7.000000,10.220043,1.909801,5,1,649.199602
19,5p5.(2P*<3/2>).5d,3.000000,10.401031,1.728813,5,1,717.163774
20,5p5.(2P*<3/2>).7s,5.0,10.562062,1.567782,7,1,790.825752
21,5p5.(2P*<3/2>).7s,3.0,10.593212,1.536632,7,1,806.856961
22,5p5.(2P*<3/2>).7p,3.0,10.901575,1.228269,7,1,1009.422355
23,5p5.(2P*<3/2>).7p,5.0,10.954212,1.175631,7,1,1054.617956
24,5p5.(2P*<1/2>).6p,3.0,10.957615,2.478652,6,1,500.208252
25,5p5.(2P*<3/2>).7p,7.0,10.968784,1.161059,7,1,1067.854235
